,Unnamed: 0,category,headline,authors,link,short descr,date,image_caption(s),image_link(s),article
910,910,ENTERTAINMENT,Brad Pitt Voluntarily Submits Drug Test Amid Ongoing Child Abuse Investigation,Carly Ledbetter,https://www.huffingtonpost.com/entry/brad-pitt-voluntarily-submits-drug-test-amid-ongoing-child-abuse-investigation_us_57ed062fe4b024a52d2cf796,"The procedure is considered ""very standard"" by the Department of Child and Family Services, according to People.",2016-09-29,"Actor Brad Pitt poses at the premiere of ""Unbroken"" at Dolby theatre in Hollywood, California Dec. 15, 2014.",https://img.huffingtonpost.com/asset/57ed09821a0000f3045b5a79.jpeg?cache=GGtLODWS7K&ops=scalefit_720_noupscale,"Brad Pitt has voluntarily completed drug testing for the Department of Children and Family Services, People confirmed Wednesday. The actor is currently being investigated by the LA County DCFS as part of an ongoing investigation regarding an alleged incident involving child abuse. The outlet confirmed with DCFS that it is “very standard” for parents involved in an abuse investigation to undergo drug testing. “He takes the matter very seriously and says he did not commit any abuse of his children,” a source told People. “It’s unfortunate that people involved are continuing to present him in the worst possible light.” According to TMZ, who first reported the incident, the actor reportedly became “verbally abusive and physical” with Maddox, 15, while on the family’s private plane, which prompted Angelina Jolie to immediately file for divorce. Pitt’s parenting techniques and consumption of marijuana and alcohol also reportedly factored into the incident and subsequent divorce filing. While a source confirmed to People that Pitt is “cooperating fully” with the ongoing DCFS case, it’s unclear if the FBI will continue with its ongoing investigation of the actor. Since the alleged incident of child abuse occurred in the air, the FBI has jurisdiction. Calls to the FBI for comment were not returned. In her divorce filings, Jolie requested full physical custody of the couple’s six children, Maddox, Pax, Zahara, Shiloh, Vivienne and Knox.“This decision was made for the health of the family,” attorney Robert Offer said on behalf of Jolie at the time, in a statement to Reuters. “She will not be commenting and asks that the family be given its privacy at this time.” Pitt released a statement to People after news of the split, writing, “I am very saddened by this, but what matters most now is the wellbeing of our kids. I kindly ask the press to give them the space they deserve during this challenging time.” The Huffington Post has reached out to the Los Angeles County Department of Children and Family Services as well as reps for Pitt and Jolie and will update this post accordingly. "
916,916,POLITICS,Congress Won't Let Veterans Access Medical Marijuana After All,Mollie Reilly,https://www.huffingtonpost.com/entry/veterans-medical-marijuana_us_57ed6102e4b082aad9ba046a,The legislation would have allowed Veterans Administration doctors to recommend medical cannabis to their patients.,2016-09-29,Congressional leadership removed language from a spending bill that would have allowed Veterans Administration doctors to recommend medical marijuana to patients.,https://img.huffingtonpost.com/asset/57ed8fac170000e00aac84a0.jpeg?ops=crop_0_111_4872_2700%2Cscalefit_720_noupscale,"An effort to allow veterans to access medical marijuana in states where it’s legal died Wednesday night when Congress passed a spending bill without the provision included. The Veterans Equal Access Amendment would have nullified a Department of Veterans Affairs standard that keeps its doctors from recommending medical cannabis as treatment for post-traumatic stress disorder, pain and other conditions experienced by veterans. Veterans currently seeking medical pot must obtain a doctor’s recommendation outside of the VA system and pay the expense out of pocket. The amendment, authored by Rep. Earl Blumenauer (D-Ore.) and Sens. Steve Daines (R-Mont.) and Jeff Merkley (D-Ore.), passed both chambers of Congress earlier this year as part of a spending package funding the Veterans Affairs department. But in June, the provision was stripped from the final version of the bill during conference committee. Blumenauer, Daines, Merkley and other supporters of the provision lobbied their colleagues to get the amendment added to the bill again.“We feel the failure of the Conferees to include either provision is a drastic misfortune for veterans and is contrary to the will of both chambers as demonstrated by the strong bipartisan support for these provisions,” read a letter sent to congressional leadership. The amendment was never readded, and the Veterans Affairs spending package passed Wednesday as part of the continuing resolution to fund the government. “It’s incredibly frustrating and disappointing that despite broad bipartisan, bicameral support, a handful of out-of-touch lawmakers put politics over the well-being of America’s wounded warriors. Our veterans deserve better,” Blumenauer said in a statement on Thursday. “We will continue to seek every opportunity to make sure they have fair and equal treatment and the ability to consult with, and seek a recommendation from, their personal VA physician about medical marijuana.”Medical marijuana is currently legal in 25 states and the District of Columbia, and several other states will vote in November on whether to legalize cannabis for medical use. The VA doesn’t condone medical marijuana as a treatment for PTSD or other conditions due to the lack of studies on the effectiveness of the substance in easing post-traumatic stress. Still, many veterans have turned to the substance as an alternative to prescription antidepressants or painkillers, and some states specifically list PTSD as a condition for which doctors can recommend cannabis. The Drug Enforcement Administration announced in August it would open the door to more research on medical uses for marijuana, which could lead to eventual acceptance by the VA. However, the DEA still classifies all forms of cannabis as Schedule 1, the “most dangerous” category of drugs. The American Legion, the country’s largest wartime veterans organization, came out earlier this month in support of allowing veterans to access medical marijuana, and urged Congress to remove cannabis from the Schedule 1 designation."
919,919,POLITICS,How Do You Sell Hitler? Put Donald Trump On The Back Cover,Daniel Marans,https://www.huffingtonpost.com/entry/donald-trump-hitler-book-my-new-order_us_57ed36c9e4b082aad9b9a2d3,That's what the publisher of a new edition of the Führer's speeches did.,2016-09-29,The front cover of this year's re-release of Adolf Hitler's <em>My New Order</em>.,https://img.huffingtonpost.com/asset/57ed38071a0000f3045b5b48.jpeg?cache=hcTes7iYZe&ops=scalefit_720_noupscale,"The publisher of a re-released collection of Adolf Hitler’s speeches is hoping that Donald Trump’s alleged affinity for the Nazi dictator’s work will boost sales.A photo of Trump, his right arm raised as he bellows into the microphone, appears on the back cover of My New Order. The image comes from the Dec. 10, 2015, front page of the Philadelphia Daily News, which ran with the headline “The New Furor.” At the time, Trump had just proposed a “complete shutdown of Muslims entering the United States.”Below the photo, Ishi Press International writes: ”Did Donald Trump really keep a copy of Hitler’s speeches by his bed? The ex wife said, ‘Absolutely!’”Trump’s former wife Ivana had told her lawyer that the real estate mogul kept a book of Hitler’s speeches in a cabinet by his bed and would read it on occasion, according to a 1990 Vanity Fair article. His friend, the late Paramount CEO Marty Davis, confirmed to the magazine that he had given Trump the book as a gift.“If I had these speeches, and I am not saying that I do, I would never read them,” Trump told Vanity Fair at the time.The GOP nominee has one solid piece of evidence on his side: He is well-known not to read much of anything, preferring to get his news from television. Tony Schwartz, who wrote The Art of the Deal for Trump, has speculated that Trump never read “a book straight through in his adult life.”When My New Order was first published in 1941, there was “nothing on the back cover,” according to Sam Sloan, the head of Ishi Press International’s U.S. operations. “So I decided to use that empty space for an advertisement for the book,” he said.The back cover of the August re-release also notes some unflattering similarities between Hitler and the GOP nominee.Trump’s campaign, replete with explicitly racist rhetoric and proposals, has excited white nationalists, who had been limited to the shadows of American life. Former Ku Klux Klan leader David Duke and others of his ilk have effusively praised the nominee’s immigration policies. And the Trump-backing internet trolls of the “alt-right” have taken to tormenting Jewish journalists on social media.Trump’s campaign did not respond to a request for comment on the matter.Editor’s note: Donald Trump regularly incites political violence and is a serial liar, rampant xenophobe, racist, misogynist and birther who has repeatedly pledged to ban all Muslims — 1.6 billion members of an entire religion — from entering the U.S."
920,920,POLITICS,How Do You Sell Hitler? Put Donald Trump On The Back Cover,Daniel Marans,https://www.huffingtonpost.com/entry/donald-trump-hitler-book-my-new-order_us_57ed36c9e4b082aad9b9a2d3,That's what the publisher of a new edition of the Führer's speeches did.,2016-09-29,The revised back cover of <em>My New Order</em> features Donald Trump.,https://img.huffingtonpost.com/asset/57ed377c1a0000de085b5b42.jpeg?ops=scalefit_720_noupscale,"The publisher of a re-released collection of Adolf Hitler’s speeches is hoping that Donald Trump’s alleged affinity for the Nazi dictator’s work will boost sales.A photo of Trump, his right arm raised as he bellows into the microphone, appears on the back cover of My New Order. The image comes from the Dec. 10, 2015, front page of the Philadelphia Daily News, which ran with the headline “The New Furor.” At the time, Trump had just proposed a “complete shutdown of Muslims entering the United States.”Below the photo, Ishi Press International writes: ”Did Donald Trump really keep a copy of Hitler’s speeches by his bed? The ex wife said, ‘Absolutely!’”Trump’s former wife Ivana had told her lawyer that the real estate mogul kept a book of Hitler’s speeches in a cabinet by his bed and would read it on occasion, according to a 1990 Vanity Fair article. His friend, the late Paramount CEO Marty Davis, confirmed to the magazine that he had given Trump the book as a gift.“If I had these speeches, and I am not saying that I do, I would never read them,” Trump told Vanity Fair at the time.The GOP nominee has one solid piece of evidence on his side: He is well-known not to read much of anything, preferring to get his news from television. Tony Schwartz, who wrote The Art of the Deal for Trump, has speculated that Trump never read “a book straight through in his adult life.”When My New Order was first published in 1941, there was “nothing on the back cover,” according to Sam Sloan, the head of Ishi Press International’s U.S. operations. “So I decided to use that empty space for an advertisement for the book,” he said.The back cover of the August re-release also notes some unflattering similarities between Hitler and the GOP nominee.Trump’s campaign, replete with explicitly racist rhetoric and proposals, has excited white nationalists, who had been limited to the shadows of American life. Former Ku Klux Klan leader David Duke and others of his ilk have effusively praised the nominee’s immigration policies. And the Trump-backing internet trolls of the “alt-right” have taken to tormenting Jewish journalists on social media.Trump’s campaign did not respond to a request for comment on the matter.Editor’s note: Donald Trump regularly incites political violence and is a serial liar, rampant xenophobe, racist, misogynist and birther who has repeatedly pledged to ban all Muslims — 1.6 billion members of an entire religion — from entering the U.S."
928,928,BLACK VOICES,Sister Of Rape Victim Says Nate Parker Is 'Exploiting Her' In New Film,Zeba Blay,https://www.huffingtonpost.com/entry/sister-of-rape-victim-says-nate-parker-is-exploiting-her-in-new-film_us_57ed78f9e4b024a52d2de377,"She calls ""The Birth of a Nation"" a ""cruel insult to [her] sister's memory.""",2016-09-29,"Nate Parker, controversial director of ""The Birth of a Nation.""",https://img.huffingtonpost.com/asset/57ed797c1b00007f08ef34a4.jpeg?ops=scalefit_720_noupscale,"The sister of the young woman who accused “The Birth of a Nation” director Nate Parker of rape in 1999 has spoken out in a powerful op-ed that calls Parker out for “exploiting [her] sister again.” In the op-ed, published in Variety on Thursday, Sharon Loeflerr writes about how her sister’s life was ruined after her rape and subsequent rape trial. Parker was eventually acquitted while his “Birth of a Nation” writing partner Jean Celestin was convicted (though he later won an appeal). Loeflerr’s sister later died by suicide in 2012, which her family claims was a result of the trauma she experienced after the rape. “[My sister] was harassed and hounded, and ended up dropping out,” Loeflerr states in the piece, as told to Variety reporter Gene Maddaus.“She had just aged out of the foster care system, so it was a big deal for her to go to college. She had a chance at a brand new life, but that was stolen from her.”Loeflerr goes on to criticize Parker and Celestin for including a fictionalized rape in the Nat Turner biopic ― a rape which galvanizes Turner (played by Parker) to launch a rebellion against cruel white slave masters. “I find it creepy and perverse that Parker and Celestin would put a fictional rape at the center of their film, and that Parker would portray himself as a hero avenging that rape,” Loeflerr says.“I take it as a cruel insult to my sister’s memory.”The op-ed concludes that while the Nat Turner story is an important one, Parker’s version does not do it justice. “I will wait for a true version of this story to be told — one that respects history and does not re-exploit my sister,” Loeflerr declares.Read the full op-ed at Variety. "
940,940,POLITICS,The Supreme Court Will Decide If This Band's Name Is Too Offensive To Be Trademarked,Cristian Farias,https://www.huffingtonpost.com/entry/the-slants-constitution_us_57ed4a73e4b082aad9b9dbab,The Slants insist their name is protected by the Constitution. But the government thinks otherwise.,2016-09-29,"The Supreme Court on Thursday agreed to hear a case brought by The Slants, who are fighting a law against trademarking offensive names.",https://img.huffingtonpost.com/asset/57ed4ae91a0000f3045b5b95.jpeg?ops=scalefit_720_noupscale,"The frontman of The Slants doesn’t like the name of Washington’s NFL team. He thinks the term is “an inherent racial slur” that is demeaning to Native Americans.And yet Simon Tam, who is Asian American, is an unwilling ally of the team, if only legally. In separate cases, the two are battling the federal government over the cancellation of their trademarks under a federal law that forbids the registration of “disparaging” marks.The Supreme Court on Thursday agreed to hear Tam’s case, but not because he asked. He and his band were on the winning side in a December ruling against the U.S. Patent and Trademark Office that found the law in question violated the Constitution.“It is a bedrock principle underlying the First Amendment that the government may not penalize private speech merely because it disapproves of the message it conveys,” said the appeals court in the ruling, which noted that denying The Slants the request for a trademark amounted to “viewpoint discrimination.” The trademark office had earlier determined “The Slants” would be offensive to people of Asian ancestry.The Obama administration promptly appealed, urging the high court to review the ruling because, in its view, the disparagement prohibition “does not restrict any speech or restrain any form of expression,” and The Slants were free to use and advertise their name even without a registered trademark.The law “simply reflects Congress’s judgment that the federal government should not affirmatively promote the use of racial slurs and other disparaging terms by granting them the benefits of registration,” the government said in its appeal.But then something weird happened: Five days after the government made its move, the Washington football team ― whose own trademark had been canceled and was appealing the decision ― wanted in on The Slants’ case. Team lawyers filed a brief begging the Supreme Court to hear both cases together, because the issues are very similar and the justices would be well served by neatly disposing of both at the same time.The high court on Thursday only agreed to hear The Slants’ case, and if a look at the court’s docket is any indication, it appears that the NFL team and its owner, Daniel Snyder, won’t get the same chance. The justices may very well reject their petition on Monday, when they’re expected to deny thousands of appeals that accumulated while they were on summer recess.That should serve as a kind of consolation for Tam, who has taken great pains to distinguish his band’s name and cause from any purported justification Snyder may offer for his own team’s name.Through editorials, the band’s website, and even a TED Talk, Tam has maintained that his band ― a self-described “Chinatown dance rock” outfit that happens to be made up of all Asian-American members ― exists to break down racial stereotypes about their ethnicity.And if that takes dismantling a part of federal trademark law, so be it.“The fact of the matter is that this law has been unfairly targeting minorities since it was drawn up in the 1940s, and overcoming it would be a small but important victory in the greater battle for equality,” Tam wrote last year.The Supreme Court will hear Lee v. Tam during its new term, which begins next week.UPDATE: Oct. 3 ― The Supreme Court on Monday rejected the NFL team’s bid to have its trademark appeal case heard alongside that of the Slants. That case is still being appealed before a lower court, which means a favorable ruling for the band could also boost the team’s chances."
946,946,POLITICS,Women Won't Elect A Fat-Shamer-In-Chief,Laura Bassett,https://www.huffingtonpost.com/entry/donald-trump-fat-shamer_us_57ed1dd6e4b024a52d2d15f9,"“That is embarrassing,” one voter said. “I have a daughter. I have a son who’d never speak like that.”",2016-09-29,"GOP nominee Donald Trump has been fat-shaming women for decades, which probably won't help him dig out of his hole with female voters.",https://img.huffingtonpost.com/asset/default-missing-image.jpg?cache=jIO2VoZgTY&ops=scalefit_720_noupscale,"WASHINGTON― There was a time in the early 1990s when it was considered cool for a woman to be so skinny her tights looked baggy around her legs.As magazines glamorized the “heroin chic” look, women’s health suffered. It was estimated that more than half of American women ages 10-30 were battling an eating disorder, and in the U.K., the incidence of bulimia tripled between 1988 and 1993. Around the same time, a rich New York businessman named Donald Trump was body-shaming his wife, Ivana, while carrying on an affair with a thin 26-year-old model. Ivana Trump reportedly blamed herself, telling a New York Daily News columnist that her husband wouldn’t touch her because she was less attractive after giving birth to their daughter. “She threw herself into my arms, sobbing and crying and saying, ‘Donald doesn’t want me anymore. He has told me he can’t be sexually attracted to a woman who has had children,’” columnist Liz Smith recently recalled to PBS.According to a 1990 Vanity Fair story, Ivana Trump underwent a face-lift and breast augmentation to try to appeal to her husband, but he continued to body-shame her while he was seeing Marla Maples:He began belittling her: “That dress is terrible.” “You’re showing too much cleavage.” “You never spend enough time with the children.” “Who would touch those plastic breasts?” Ivana told her friends that Donald had stopped sleeping with her. She blamed herself.In 1996, when Trump owned the Miss Universe pageant, he called Venezuelan contestant Alicia Machado “Miss Piggy” because he thought she’d gained too much weight after winning the Miss Universe crown. Machado said the insults caused her to develop a severe eating disorder, like many other women who resorted to desperate measures to meet society’s beauty standards. Twenty years later, it’s no longer cool to be deathly thin or acceptable to shame women’s bodies. This year, a “plus-size” model landed the cover of Sports Illustrated’s notorious swimsuit issue, in a first for the magazine. Women are proudly sharing photos of their soft, stretch-marked, post-baby bellies on social media to inspire other women to feel good about themselves, and those posts are going viral for the right reasons. Celebrities are posting less flattering, un-retouched photos of themselves next to their magazine covers to remind people that photoshopped bodies aren’t real. But none of this has changed Donald Trump’s fat-shaming tendencies. As Americans embrace an unprecedented body positivity movement, the nation is also potentially weeks away from electing a president who viciously and unapologetically criticizes women’s bodies. “She was the worst we ever had,” Trump said of Miss Universe winner Machado this week, echoing his “Miss Piggy” comments from two decades ago. “She was the winner, and she gained a massive amount of weight, and it was a real problem.”In a 2013 interview, the GOP presidential nominee said that Kim Kardashian had gotten “a little bit large” and shouldn’t be dressing like she weighed 120 pounds. He reportedly told managers at Trump National Golf Club that the restaurant hostesses “should be fired and replaced with more attractive women.” And during Monday’s presidential debate, he defended himself for calling comedian Rosie O’Donnell “fat” and a “slob.” “Somebody who has been very vicious to me, Rosie O’Donnell ― I said very tough things to her, and I think everybody would agree that she deserves it and nobody feels sorry for her,” Trump said. Women are not impressed. Republican strategists are frustrated that Trump squandered a chance to pick up suburban female voters ― a demographic whose support he needs to win. And more than a dozen Republican-leaning women in Pennsylvania, a crucial swing state, told The New York Times that Trump’s name-calling and fat-shaming of women is a huge turn-off, suggesting that he may even lose some female supporters.“That is embarrassing,” said Kim Gray, a Trump backer in West Chester, Pennsylvania. “I have a daughter. I have a son who’d never speak like that.”Women’s votes matter: President Barack Obama defeated his GOP opponent Mitt Romney in 2012 thanks partly to overwhelming support from women. While there was a historic gender gap in that election, the gender gap in 2016 is shaping up to be even more extreme: A recent ABC News/Washington Post poll found Clinton leading by 19 points among women and Trump leading by 19 points among men. But women tend to turn out to the polls in greater numbers: In 2012, female voters made up 53 percent of the electorate. Similar numbers this year could spell trouble for Trump.“I know this may be hard for you to comprehend,” actress Dawn Neufeld tweeted on Wednesday, “but it’s not okay to publicly fat-shame people when you’re running for president (or ever).” Editor’s note: Donald Trump regularly incites political violence and is a serial liar, rampant xenophobe, racist, misogynist and birther who has repeatedly pledged to ban all Muslims — 1.6 billion members of an entire religion — from entering the U.S."
949,949,IMPACT,1 In 5 U.S. Households With Kids Don't Have Enough To Eat: Report,Eleanor Goldberg,https://www.huffingtonpost.com/entry/what-you-need-to-know-about-trumps-charity-scandals-vs-hillarys_us_57e94574e4b0e28b2b550f03,"Rates are dropping, but they're still ""far too high.""",2016-09-28,"WOONSOCKET, RI - MARCH 01: One-year-old Jaeliece Ortiz enjoys some of the food (fruit juice) her mother (Rebecka Ortiz) just brought home after shopping with her SNAP (food stamps) card.",https://img.huffingtonpost.com/asset/57eae0561700004007ac79ec.jpeg?ops=scalefit_720_noupscale,"Hunger among families in the United States has dropped since the recession, but the number of struggling households remains troublingly high, a new report concludes.One in five households with children didn’t have sufficient funds to purchase enough food last year, according to a report released this month by the Food Research & Action Center (FRAC), a group that fights hunger through public policy and public-private partnerships. These figures were released on the heels of a separate report that found food insecure adolescents in the U.S. taking desperate, risky measures just to get something to eat. Last year, 19.2 percent of households with children said they struggled at some point during the year to afford food, per the FRAC report. That marks a slight decline from 2014, when 20.8 percent of families said they didn’t have enough money to pay for food. Washington, D.C., and Mississippi had the highest hunger rates among families with children.FRAC also reported that the number of households that have trouble affording food ― both those with children and without ― has fallen slightly, from 17.8 percent in 2008 to 16 percent last year.While government programs help families in need, they’re not effective enough, the report concluded.The shortcomings of these programs were demonstrated in a report released this month by Feeding America, a nonprofit food bank network, and the Urban Institute research group. The report found that some low-income U.S. teens are so strapped for resources that they’re engaging in transactional sex with older, wealthier adults in order to get something to eat.While the authors weren’t certain how “prevalent” those cases are, the anecdotes outlined in the report still signify a harsh reality that advocates and government leaders can’t afford to ignore.There are nearly 7 million children between the ages of 10 and 17 in America who struggle with hunger, per the Feeding America study.The teens represented in that research have access to food banks, government programs and other resources, but many aren’t able to take advantage of those opportunities for a number of reasons. Sometimes it’s the overwhelming stigma that keeps teens from walking into a food pantry; for others, logistical challenges may preclude them from getting access.The FRAC report noted that only four out of five people who are eligible for the Supplemental Nutrition Assistance Program (formerly known as “food stamps”) actually receive those benefits.Some people aren’t aware that they’re eligible, while others struggle to navigate the red tape involved. And some are just reluctant to use the program because they’re ashamed. And a significant number of children are missing out on breakfast in school even though it’s provided.In 2014, nearly half of low-income kids in the U.S. didn’t eat breakfast. That was because overextended parents couldn’t get their kids to school early enough for when the meal was served, and some students were too embarrassed to admit they needed it.To help underserved families get the food they need, FRAC is calling for more robust nutrition programs and improved access to government programs for eligible individuals.“America has the resources to eliminate hunger for all of its citizens, regardless of age or family configuration,” the authors of the FRAC report wrote. “The cost of not doing so — in terms of damage to health, education, early childhood development, and productivity — is too high.”"
950,950,IMPACT,1 In 5 U.S. Households With Kids Don't Have Enough To Eat: Report,Eleanor Goldberg,https://www.huffingtonpost.com/entry/what-you-need-to-know-about-trumps-charity-scandals-vs-hillarys_us_57e94574e4b0e28b2b550f03,"Rates are dropping, but they're still ""far too high.""",2016-09-28,"PORTLAND, ME - NOVEMBER 23: Mellen Street market clerk Jim Wickham checks out customers at Mellen Street Market in Portland, ME on Monday, November 23, 2015.",https://img.huffingtonpost.com/asset/57eaab661b00003007ef2947.jpeg?ops=scalefit_720_noupscale,"Hunger among families in the United States has dropped since the recession, but the number of struggling households remains troublingly high, a new report concludes.One in five households with children didn’t have sufficient funds to purchase enough food last year, according to a report released this month by the Food Research & Action Center (FRAC), a group that fights hunger through public policy and public-private partnerships. These figures were released on the heels of a separate report that found food insecure adolescents in the U.S. taking desperate, risky measures just to get something to eat. Last year, 19.2 percent of households with children said they struggled at some point during the year to afford food, per the FRAC report. That marks a slight decline from 2014, when 20.8 percent of families said they didn’t have enough money to pay for food. Washington, D.C., and Mississippi had the highest hunger rates among families with children.FRAC also reported that the number of households that have trouble affording food ― both those with children and without ― has fallen slightly, from 17.8 percent in 2008 to 16 percent last year.While government programs help families in need, they’re not effective enough, the report concluded.The shortcomings of these programs were demonstrated in a report released this month by Feeding America, a nonprofit food bank network, and the Urban Institute research group. The report found that some low-income U.S. teens are so strapped for resources that they’re engaging in transactional sex with older, wealthier adults in order to get something to eat.While the authors weren’t certain how “prevalent” those cases are, the anecdotes outlined in the report still signify a harsh reality that advocates and government leaders can’t afford to ignore.There are nearly 7 million children between the ages of 10 and 17 in America who struggle with hunger, per the Feeding America study.The teens represented in that research have access to food banks, government programs and other resources, but many aren’t able to take advantage of those opportunities for a number of reasons. Sometimes it’s the overwhelming stigma that keeps teens from walking into a food pantry; for others, logistical challenges may preclude them from getting access.The FRAC report noted that only four out of five people who are eligible for the Supplemental Nutrition Assistance Program (formerly known as “food stamps”) actually receive those benefits.Some people aren’t aware that they’re eligible, while others struggle to navigate the red tape involved. And some are just reluctant to use the program because they’re ashamed. And a significant number of children are missing out on breakfast in school even though it’s provided.In 2014, nearly half of low-income kids in the U.S. didn’t eat breakfast. That was because overextended parents couldn’t get their kids to school early enough for when the meal was served, and some students were too embarrassed to admit they needed it.To help underserved families get the food they need, FRAC is calling for more robust nutrition programs and improved access to government programs for eligible individuals.“America has the resources to eliminate hunger for all of its citizens, regardless of age or family configuration,” the authors of the FRAC report wrote. “The cost of not doing so — in terms of damage to health, education, early childhood development, and productivity — is too high.”"
952,952,POLITICS,"Donald Trump, We Need To Talk About What A Poll Is",Ariel Edwards-Levy,https://www.huffingtonpost.com/entry/online-reader-polls-scientific-polls_us_57ebdab6e4b0c2407cdab142,"A helpful primer for the GOP nominee, and anyone else who might be confused.",2016-09-28,"Republican presidential nominee Donald Trump holds up a sheet with poll numbers as he speaks at a rally in Ames, Iowa, on Jan. 19, 2016.",https://img.huffingtonpost.com/asset/57ebed1d1700004007ac7dc3.jpeg?ops=scalefit_720_noupscale,"Donald Trump’s relationship with the polls has always been a fraught affair, largely dependent on how he happens to be doing in them.During the primaries, when surveys showed Trump ahead, he couldn’t stop talking about his polling numbers. Earlier in the summer, when nearly every survey of the race showed him behind, his supporters instead embraced poll denialism. And this week, in the aftermath of a presidential debate performance widely seen as moderately disastrous, Trump tweeted this:First of all, this is not true. Online polls from Morning Consult and YouGov both showed Democratic nominee Hillary Clinton “winning” the debate, as did snap polling from CNN and the Democratic firm PPP.Furthermore, what sets those polls apart from the ones Trump is citing is that they’re actually scientific.Scientific polls can be conducted by phone, via online panels or some other way, and use a mix of sampling and weighting to make their numbers representative of the larger population whose opinions they’re measuring ― whether that’s all adult Americans, or just likely voters. Recent changes in technology have complicated that process, but the underlying principle remains basically the same.That’s why, even if a scientific poll reaches relatively few people, it can accurately depict the opinions of a much larger group.In contrast, reader polls, like those Trump cites in the tweet below, make no such attempt to weight their responses or to represent anything beyond the number of people who happen to have clicked on them.As tools to accurately gauge public sentiment, such unscientific polls fail on a number of levels. The people reading any particular website aren’t representative of the public at large. Those who take the time to read a particular story ― and to weigh in on it ― are even less so.For a quick visual example of why that’s a problem, let’s look at some of The Huffington Post’s own surveys. HuffPost partners with the polling firm YouGov to conduct scientific polls using an online panel. When we report the results of those surveys, we’ll also often include a reader poll in the story as well.Those reader polls are just for fun ― the results aren’t actually used for anything. But it does give us the opportunity to compare the actual poll’s results, which are representative of the American public, to the reader poll’s results, which are representative of ... well, the people who took the poll. HuffPost readers who took a reader poll in one election story, for instance, were twice as likely as the average American to be “extremely enthusiastic” about the election:Respondents to another reader poll were far more likely than the public as a whole to say they’d fought with their friends over the presidential race.And, for whatever reason, readers who answered this Thanksgiving poll were rather notably biased toward stuffing.And that’s without getting into what’s possibly the worst problem with reader polls ― there’s often nothing to prevent people from voting multiple times.That leaves them vulnerable to intentional manipulation by people with a vested interest in the outcome ― a fact that some Trump fans took full advantage of. (For a similar example, see this tale of how the internet nearly named a research ship “Boaty McBoatface”). Trump isn’t the only one in his circle who seems to be confused ― or eager to blur the lines ― over what constitutes an actual poll. His campaign manager, Kellyanne Conway, tweeted a link to a Daily Mail story referencing reader polls. As a pollster herself, Conway almost certainly knows better. She deleted the tweet a few minutes later.Fox News was also forced to circulate a memo after several of the network’s hosts, including Sean Hannity, cited unscientific polls about the debate.“News networks and other organizations go to great effort and rigor to conduct scientific polls — for good reason,” wrote Dana Blanton, Fox’s vice president of public opinion research, according to Business Insider. “They know quick vote items posted on the web are nonsense, not true measures of public opinion.”Handy rule of thumb:Editor’s note: Donald Trump regularly incites political violence and is a serial liar, rampant xenophobe, racist, misogynist and birther who has repeatedly pledged to ban all Muslims — 1.6 billion members of an entire religion — from entering the U.S."
