,Unnamed: 0,category,headline,authors,link,short descr,date,labelexplain,VizEntailment,image_caption(s),image_link(s),OFAcaption,Headline,Short_descr,Image_Caption(s),OFACAPTION,headlineandshortdescr,shortdescrncaption,headlineandcaption,headlineandOFA,shortdescrandOFA,actualcaptionandOFA
10,10,ENTERTAINMENT,Hollywood Doesn't Need 'Difficult' Men To Make Great TV,Emma Gray,https://www.huffingtonpost.com/entry/hollywood-doesnt-need-difficult-men-to-make-great-tv_us_5b080bcce4b0568a880aa6d9,"""Crazy Ex-Girlfriend's"" Vella Lovell pushes back on what old-school male actors see as the ""norm.""",2018-05-25,,E,"Jeffrey Tambor, Will Arnett, Alia Shawkat, Jason Bateman, Jessica Walter, David Cross and Tony Hale of ""Arrested Development"" on May 21.",https://img.huffingtonpost.com/asset/5b080d8d1e0000a6048e6981.jpeg?cache=H6FBWtvKGG&ops=scalefit_720_noupscale,a group of people posing for a picture,0.00011425872,0.00019488887,0.99927574,0.00041510642,"('contradiction', ' 0.73%')","('contradiction', ' 0.76%')","('contradiction', ' 0.83%')","('contradiction', ' 0.87%')","('contradiction', ' 0.87%')","('contradiction', ' 0.85%')"
11,11,POLITICS,"Twitter Bots May Have Delivered Donald Trump's Victory, Research Paper Says",Mary Papenfuss,https://www.huffingtonpost.com/entry/twitter-bots-may-have-delivered-donald-trumps-victory-research-finds_us_5b07a231e4b0568a8809c66a,"“Our results suggest that, given narrow margins of victories in each vote, bots’ effect was likely marginal but possibly large enough to affect the outcomes.""",2018-05-25,,N,"U.S. security officials have said the Russian government attempted to sway the election for Trump via social media, using bots to inflate the impact of the messages. New research shows how much bots may have influenced voters.",https://img.huffingtonpost.com/asset/5b07bcf51a0000c504cdfb56.jpeg?ops=scalefit_720_noupscale,a man in a suit and tie with a butterfly on his tie,0.00047002063,0.0011197648,0.9838536,0.0145566035,"('neutral', ' 0.51%')","('neutral', ' 0.88%')","('neutral', ' 0.90%')","('contradiction', ' 0.54%')","('contradiction', ' 0.46%')","('entailment', ' 0.46%')"
12,12,POLITICS,A Member Of The Far-Right Proud Boys Menaced A Twitter User On His Doorstep,Andy Campbell,https://www.huffingtonpost.com/entry/far-right-proud-boys-menaced-twitter-user-on-his-doorstep_us_5b06de68e4b07c4ea1060e92,"A videographer made fun of the far-right extremist group online, so they showed up at his house.",2018-05-25,,E,"The man on the right, Kenneth Lizardo, appears to be the person who showed up on the doorstep of Vic Berger.",https://img.huffingtonpost.com/asset/5b06eb481e00007d038e681f.jpeg?ops=scalefit_720_noupscale,two men standing next to each other in a crowd,0.8793849,0.06764978,0.01888374,0.034081653,"('neutral', ' 0.65%')","('neutral', ' 0.84%')","('neutral', ' 0.76%')","('contradiction', ' 0.62%')","('contradiction', ' 0.75%')","('contradiction', ' 0.53%')"
13,13,WOMEN,The Joy Of Watching Harvey Weinstein’s Perp Walk,Emma Gray,https://www.huffingtonpost.com/entry/joy-watching-harvey-weinstein-perp-walk_us_5b0823c3e4b0fdb2aa531c7c,There's a delicious schadenfreude in seeing a powerful abuser finally held accountable.,2018-05-25,,E,"Harvey Weinstein arrives at the New York Police Department's 1st Precinct to turn himself in on May 25, 2018.",https://img.huffingtonpost.com/asset/5b08244b200000f202b92931.jpeg?cache=e9ii8yv2Eo&ops=scalefit_720_noupscale,a man standing in front of a crowd of people with cameras,0.43094772,0.0041263485,0.5440151,0.020910809,"('neutral', ' 0.50%')","('neutral', ' 0.74%')","('neutral', ' 0.79%')","('contradiction', ' 0.73%')","('contradiction', ' 0.61%')","('contradiction', ' 0.72%')"
14,14,SPORTS,Jets Chairman Christopher Johnson Won't Fine Players For Anthem Protests,Ron Dicker,https://www.huffingtonpost.com/entry/jets-christopher-johnson-wont-fine-players-for-anthem-protests_us_5b069e29e4b05f0fc8453d6f,"“I never want to put restrictions on the speech of our players.""",2018-05-24,,Server error,Christopher Johnson locks arms with players during the national anthem before a game in September 2017.,https://img.huffingtonpost.com/asset/5b06a60c1a0000c704cdfa4d.jpeg?ops=scalefit_720_noupscale,a group of football players standing with a coach,0.99843305,5.2605792E-05,0.0014516567,6.2736246E-05,"('contradiction', ' 0.93%')","('contradiction', ' 0.64%')","('neutral', ' 0.51%')","('contradiction', ' 0.85%')","('contradiction', ' 0.83%')","('contradiction', ' 0.82%')"
15,15,POLITICS,Trump Lawyer Attended DOJ Meeting On Confidential FBI Informant,Igor Bobic and Ryan J. Reilly,https://www.huffingtonpost.com/entry/doj-meeting-trump-fbi_us_5b06e0f4e4b07c4ea10613b3,"Emmet Flood, the White House attorney dealing with the Russia probe, was present at a controversial DOJ meeting about the investigation.",2018-05-24,,E,"White House Chief of Staff John Kelly (R) and White House lawyer Emmet Flood (L) arrive to attend a briefing with members of the so-called 'Gang of Eight' at the U.S. Capitol May 24, 2018 in Washington, DC.",https://img.huffingtonpost.com/asset/5b071d5c2000006505b927e6.jpeg?ops=scalefit_720_noupscale,three men in suits and ties walking in a group,0.0003982648,0.00048329402,0.9649966,0.034121938,"('neutral', ' 0.75%')","('neutral', ' 0.67%')","('neutral', ' 0.62%')","('contradiction', ' 0.72%')","('contradiction', ' 0.70%')","('contradiction', ' 0.74%')"
16,16,POLITICS,"Senate Advances Court Pick Who Said Planned Parenthood 'Kills Over 150,000 Females A Year’",Jennifer Bendery,https://www.huffingtonpost.com/entry/wendy-vitter-abortion-trump-judge_us_5afd8918e4b06a3fb50e5c68,Every Republican on the judiciary committee voted for Wendy Vitter.,2018-05-24,,N,Wendy Vitter inched closer Thursday to getting confirmed to a lifetime seat on a U.S. District Court.,https://img.huffingtonpost.com/asset/5afd89601e00007d038e5d07.jpeg?ops=scalefit_720_noupscale,a woman with her hand up in front of a brown background,0.24908997,0.05835099,0.5187759,0.17378308,"('contradiction', ' 0.94%')","('neutral', ' 0.96%')","('neutral', ' 0.56%')","('contradiction', ' 0.72%')","('contradiction', ' 0.77%')","('contradiction', ' 0.57%')"
17,17,POLITICS,Kentucky Attorney Running For Judge Dies 1 Day After Primary Win,Nina Golgowski,https://www.huffingtonpost.com/entry/judge-candidate-danny-alvarez-dies_us_5b06aee4e4b05f0fc84557c3,"Danny Alvarez, a married of father of three, was vying for Jefferson County District Court judge in Louisville.",2018-05-24,,N,"Danny Alvarez, who was running for Jefferson County District Court judge in Kentucky, died on Wednesday after a primary victory.",https://img.huffingtonpost.com/asset/5b06d29b1a0000cd04cdfa99.jpeg?cache=UCVFiOGyuD&ops=crop_725_0_989_1080%2Cscalefit_720_noupscale,a man in a suit and tie with a badge,0.010502604,0.08033592,0.8984545,0.010707012,"('neutral', ' 0.81%')","('neutral', ' 0.75%')","('neutral', ' 0.79%')","('contradiction', ' 0.78%')","('contradiction', ' 0.69%')","('contradiction', ' 0.68%')"
18,18,SPORTS,Trump Posthumously Pardons Boxer Jack Johnson,Lydia O'Connor,https://www.huffingtonpost.com/entry/trump-pardons-late-boxing-champion-jack-johnson_us_5b06eea4e4b07c4ea10630c8,The pardoning of the black heavyweight boxer is only the third posthumous pardon in U.S. history.,2018-05-24,,E,"Donald Trump speaks after granting posthumous pardon to former heavyweight champion Jack Johnson in the Oval Office on May 24. Attending the event are (left to right) Linda Haywood, Great great niece of Jack Johnson, Deontay Wilder, Keith Frankel, Sylvester Stallone, and Lennox Lewis.",https://img.huffingtonpost.com/asset/5b070f2a1e0000bf048e6856.jpeg?ops=scalefit_720_noupscale,a group of people standing around a table,0.00011249202,3.9588336E-05,0.99984765,2.6845652E-07,"('contradiction', ' 0.68%')","('neutral', ' 0.68%')","('neutral', ' 0.75%')","('contradiction', ' 0.85%')","('contradiction', ' 0.60%')","('contradiction', ' 0.67%')"
19,19,ENTERTAINMENT,Moses Farrow Defends Woody Allen And Accuses Mia Farrow Of Abuse,Ron Dicker,https://www.huffingtonpost.com/entry/moses-farrow-mia-farrow-abuse_us_5b0681ace4b07c4ea10510c2,"Dylan Farrow called her brother's essay ""beyond hurtful"" and ""easily disproven.""",2018-05-24,the image shows the people mentioned in the caption,E,"Actress Mia Farrow with her children (back row) Matthew, Sascha, Soon-Yi; (front row) Daisy, Fletcher, Moses and Lark. Moses Farrow wrote a scathing essay accusing his mom of repeated physical abuse.",https://img.huffingtonpost.com/asset/5b06a31f2000006505b92730.jpeg?ops=scalefit_720_noupscale,a group of children and a teacher posing for a picture,8.382398E-06,4.930585E-07,0.9999012,8.9948924E-05,"('neutral', ' 0.79%')","('neutral', ' 0.85%')","('neutral', ' 0.92%')","('contradiction', ' 0.77%')","('contradiction', ' 0.61%')","('contradiction', ' 0.74%')"
20,20,ENTERTAINMENT,Harvey Weinstein Expected To Turn Himself In To The NYPD For Sex Crimes,Sara Boboltz,https://www.huffingtonpost.com/entry/harvey-weinstein-plans-to-turn-himself-in-friday_us_5b07121ee4b07c4ea10666d1,Authorities in New York have been investigating the former producer for alleged sexual abuse and harassment.,2018-05-24,,E,"Protesters attend a Me Too rally to denounce sexual harassment and assaults of women in Los Angeles, California on November 12, 2017.",https://img.huffingtonpost.com/asset/5b0726f71a0000c504cdfb0e.jpeg?ops=scalefit_720_noupscale,a woman holding a sign in a crowd of people,1.593714E-05,3.569173E-05,0.98384076,0.01610769,"('neutral', ' 0.90%')","('contradiction', ' 0.65%')","('contradiction', ' 0.60%')","('contradiction', ' 0.73%')","('contradiction', ' 0.76%')","('contradiction', ' 0.71%')"
21,21,POLITICS,Civil Rights Groups Rip Senate Bill Revising Its Own Sexual Harassment Policy,Jennifer Bendery,https://www.huffingtonpost.com/entry/civil-rights-groups-senate-bill-sexual-harassment-policy_us_5b0714e3e4b07c4ea1066816,"The bill would let lawmakers hide past offenses and only be punished for ""severe or pervasive"" harassment, the ACLU said.",2018-05-24,,N,Sen. Roy Blunt helped negotiate a sexual harassment bill that civil rights groups are giving a big thumbs-down.,https://img.huffingtonpost.com/asset/5b0714fa1a0000cd04cdfaf2.jpeg?ops=scalefit_720_noupscale,a man standing in a crowd of people with cell phones,0.007708123,0.012088522,0.9801981,5.2096734E-06,"('neutral', ' 0.56%')","('neutral', ' 0.96%')","('neutral', ' 0.91%')","('contradiction', ' 0.65%')","('contradiction', ' 0.61%')","('contradiction', ' 0.62%')"
22,22,POLITICS,Alabama Sues To Exclude Undocumented Immigrants From Census Count,Sam Levine,https://www.huffingtonpost.com/entry/alabama-census-undocumented-immigrants_us_5b07028ee4b05f0fc84629a7,Legal experts say the suit has some big flaws.,2018-05-24,,N,Rep. Mo Brooks (R-Ala.) is a plaintiff in a suit seeking to bar the Census Bureau from counting undocumented residents.,https://img.huffingtonpost.com/asset/5b0702fb2000006505b927cc.jpeg?cache=eKqsxDfDKV&ops=scalefit_720_noupscale,a man in a suit and tie standing in a room,1.3586244E-05,0.0002928974,0.99838257,0.0013110011,"('neutral', ' 0.75%')","('neutral', ' 0.93%')","('neutral', ' 0.81%')","('contradiction', ' 0.53%')","('contradiction', ' 0.66%')","('contradiction', ' 0.56%')"
23,23,POLITICS,White House Officials Reportedly Considered Just 'Ignoring' New Climate Research,Dominique Mosbergen,https://www.huffingtonpost.com/entry/white-house-ignore-climate-research-report_us_5b066bf7e4b07c4ea104e2a7,An internal memo obtained by The Washington Post offers a glimpse into the challenges faced by the Trump administration on the issue of climate change.,2018-05-24,,E,"Both Environmental Protection Agency Administrator Scott Pruitt (left) and President Donald Trump are vocal climate change deniers. Pruitt has said the debate on climate change is ""far from settled."" Trump has famously described global warming as a myth perpetuated by China. ",https://img.huffingtonpost.com/asset/5b067f971a0000c504cdf9f5.jpeg?cache=g1ijoVajUi&ops=scalefit_720_noupscale,two men in suits standing in front of a microphone,0.016570501,0.007129181,0.9762975,2.7454803E-06,"('neutral', ' 0.87%')","('neutral', ' 0.69%')","('neutral', ' 0.62%')","('contradiction', ' 0.72%')","('contradiction', ' 0.69%')","('contradiction', ' 0.77%')"
24,24,POLITICS,'Stormy Daniels Day' Declared In West Hollywood As Adult Star Gets Key To City,Nina Golgowski,https://www.huffingtonpost.com/entry/stormy-daniels-day-proclaimed_us_5b05adfbe4b0784cd2b0d414,"The California city recognized her as a “national figure in the resistance to the Trump Administration.""",2018-05-24,,E,"Adult film star Stormy Daniels received a key to West Hollywood, California, on Wednesday for taking on President Donald Trump's administration.",https://img.huffingtonpost.com/asset/5b0608bd2000004200b9265d.jpeg?cache=HvLXrQRtq8&ops=scalefit_720_noupscale,a woman holding a trophy in her hand,0.007864358,9.460134E-07,0.98444647,0.0076883077,"('neutral', ' 0.75%')","('neutral', ' 0.66%')","('neutral', ' 0.88%')","('contradiction', ' 0.81%')","('contradiction', ' 0.75%')","('contradiction', ' 0.80%')"
25,25,POLITICS,A Judge Ruled One Immigrant Had A Right To A Hearing. What About All The Others?,Elise Foley,https://www.huffingtonpost.com/entry/immigrant-detention-courts_us_5b0725f0e4b0802d69c958d3,The Supreme Court will likely have to determine whether indefinite detention without a bond hearing violates the Constitution.,2018-05-24,"does not show the person, does not show immigration and customs enforcement and the image shown cannot be assumed to be from a detention centre",C,"Augustin Sajous, a 60-year-old legal permanent resident, has been in Immigration and Customs Enforcement detention since September.",https://img.huffingtonpost.com/asset/5b0735091a0000c504cdfb16.jpeg?cache=5kIqRxE8cH&ops=scalefit_720_noupscale,a barbed wire fence with a sky background and a tree,0.029628081,0.66273,0.25547642,0.052165594,"('neutral', ' 0.77%')","('neutral', ' 0.74%')","('neutral', ' 0.72%')","('contradiction', ' 0.67%')","('contradiction', ' 0.69%')","('contradiction', ' 0.75%')"
26,26,POLITICS,House Democrats Offer Internships For Students Affected By Gun Violence,Antonia Blumberg,https://www.huffingtonpost.com/entry/house-democrats-announced-internship-for-students-impacted-by-gun-violence_us_5b06ee0fe4b05f0fc846005f,"“It’s important that we learn from their experience.""",2018-05-24,,E,"A woman and her children pay respects at a makeshift memorial at Santa Fe High School in Santa Fe, Texas, May 23, 2018. Survivors of school shootings are encouraged to apply for special internships with House Democrats.",https://img.huffingtonpost.com/asset/5b0706881a0000cd04cdfae7.jpeg?ops=scalefit_720_noupscale,a woman and two children standing in front of a memorial,0.0003553954,4.4910635E-06,0.92427766,0.075362526,"('entailment', ' 0.56%')","('neutral', ' 0.65%')","('neutral', ' 0.61%')","('contradiction', ' 0.59%')","('contradiction', ' 0.65%')","('contradiction', ' 0.82%')"
27,27,POLITICS,High School Teacher Defeats Kentucky House Majority Leader In GOP Primary,Travis Waldron,https://www.huffingtonpost.com/entry/teacher-defeats-kentucky-house-leader_us_5b04c3a2e4b0784cd2af673b,The upset comes after widespread teacher protests over pension and education budget cuts.,2018-05-23,from the article we can tell that the board being held up says we will remember in november which implies that electoins are in november and it also says fund public education,E,Kentucky's protesting teachers said they'd vote against lawmakers who'd voted to alter their pensions and cut school budgets in upcoming elections.,https://img.huffingtonpost.com/asset/5b04cb881a0000c704cdf7dd.jpeg?ops=scalefit_720_noupscale,a woman holding a protest sign at a rally,0.0007518524,0.59652835,0.39879644,0.003923303,"('neutral', ' 0.77%')","('neutral', ' 0.78%')","('contradiction', ' 0.52%')","('contradiction', ' 0.80%')","('contradiction', ' 0.61%')","('contradiction', ' 0.76%')"
28,28,POLITICS,Lupe Valdez Makes History In Texas By Winning Democratic Nod For Governor,Sarah Ruiz-Grossman,https://www.huffingtonpost.com/entry/lupe-valdez-win-texas-democratic-primary-governor_us_5afcac91e4b06a3fb50d613c,The former sheriff ― the first Latina nominated for Texas governor by a major party ― now faces GOP Gov. Greg Abbott.,2018-05-23,,E,"Lupe Valdez, seen here at a Mardi Gras parade in Dallas in February 2017, is used to overcoming long odds and breaking barriers.",https://img.huffingtonpost.com/asset/5afcafbd1a0000c704cdee6a.png?cache=JQnheyzGFc&ops=scalefit_720_noupscale,a man and a woman riding on a horse,0.016874889,0.0005511665,0.9825676,6.371237E-06,"('neutral', ' 0.52%')","('neutral', ' 0.76%')","('neutral', ' 0.83%')","('contradiction', ' 0.67%')","('contradiction', ' 0.65%')","('contradiction', ' 0.59%')"
29,29,ENTERTAINMENT,Lourdes Leon Gives Us Major Madonna Vibes In Moody New Ad Campaign Pics,"Suzy Byrne, Yahoo Entertainment",https://www.huffingtonpost.com/entry/lourdes-leon-gives-us-major-madonna-vibes-in-moody-new-ad-campaign-pix_us_5b057bf5e4b05f0fc843be65,We will always think of Madonna‘s daughter Lourdes “Lola” Leon as this big-eyed little beauty.,2018-05-23,,E,"Lourdes Leon attends the Jeremy Scott 2018 Spring/Summer Presentation on Friday, Sept. 8, 2017, in New York.",https://img.huffingtonpost.com/asset/5b057d201e0000a6048e6600.jpeg?cache=Qel9u1iatD&ops=scalefit_720_noupscale,actors attend the fall fashion show during fashion week,0.016213026,0.033752844,0.5010405,0.44899362,"('neutral', ' 0.52%')","('neutral', ' 0.87%')","('neutral', ' 0.70%')","('contradiction', ' 0.83%')","('contradiction', ' 0.84%')","('contradiction', ' 0.84%')"
30,30,POLITICS,Fighter Pilot Amy McGrath Wins Democratic Primary In Kentucky Swing District,Travis Waldron,https://www.huffingtonpost.com/entry/kentucky-democratic-primary-amy-mcgrath-fighter-pilot_us_5b042f57e4b0c0b8b23e79f8,McGrath's victory continues the success women and political newcomers have found in Democratic primaries.,2018-05-23,,N,"Retired Marine fighter pilot Amy McGrath launched her campaign with a viral video that earned national attention, then pulled off a come-from-behind win.",https://img.huffingtonpost.com/asset/5b043e4a2000006505b92404.jpeg?ops=scalefit_720_noupscale,a woman is sitting in front of a microphone,0.3998155,0.0039925724,0.59560746,0.0005845122,"('neutral', ' 0.72%')","('neutral', ' 0.59%')","('neutral', ' 0.93%')","('contradiction', ' 0.70%')","('contradiction', ' 0.70%')","('contradiction', ' 0.62%')"
31,31,POLITICS,The ACLU Is Suing To Strike Down Ohio's Congressional Map,Sam Levine,https://www.huffingtonpost.com/entry/ohio-congressional-map-gerrymandering_us_5b056ee5e4b07c4ea103d092,"The civil liberties group says Ohio's map is so heavily gerrymandered, it violates the Constitution.",2018-05-23,,N,The ACLU says Ohio's congressional map violates the Constitution because it deprives Democrats of the ability to elect a candidate of their choice and treats them differently from Republicans.,https://img.huffingtonpost.com/asset/5b0573a41a0000c704cdf8b0.png?ops=scalefit_720_noupscale&format=webp,the map of congressional districts in ohio,0.011923293,0.21035169,0.07304613,0.70467895,"('neutral', ' 0.62%')","('neutral', ' 0.55%')","('contradiction', ' 0.50%')","('contradiction', ' 0.76%')","('contradiction', ' 0.68%')","('contradiction', ' 0.74%')"
32,32,CRIME,Maryland Police Charge 3 Church Leaders With Past Abuse Of At-Risk Teen Girls,Carol Kuruvilla,https://www.huffingtonpost.com/entry/maryland-police-charged-three-church-leaders-abusing-teen-girls_us_5b05bfcfe4b07c4ea10470ce,"The victims, who are now adults, were enrolled in a church-run program designed to give troubled teens a safe place to live.",2018-05-23,,E,"Church leaders Joshua Wright, Donald Jackson and William Wright have been charged with child abuse and other sex offenses.",https://img.huffingtonpost.com/asset/5b0573a41a0000c704cdf8b0.png?ops=scalefit_720_noupscale,a map of congressional districts in ohio,3.0755455E-08,4.2313096E-07,6.965892E-07,0.9999988,"('neutral', ' 0.68%')","('neutral', ' 0.79%')","('neutral', ' 0.41%')","('contradiction', ' 0.72%')","('contradiction', ' 0.61%')","('contradiction', ' 0.67%')"
